feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Microbiome_gene_K00099	antivirals	antivirals	-0.779724883059972	0.459859591985105	180	105	0.0930785098178276	0.900855574211745
Microbiome_gene_K00112	antivirals	antivirals	-0.653110950376955	0.398966394175258	180	99	0.104937480384247	0.900855574211745
Microbiome_gene_K00121	antivirals	antivirals	-0.439461050188543	0.267193419789144	180	116	0.102854669970801	0.900855574211745
Microbiome_gene_K00124	antivirals	antivirals	-0.782267742005759	0.286573779301683	180	121	0.00732719505238154	0.900855574211745
Microbiome_gene_K00133	probiotics	probiotics	0.849539523719405	0.453290723892573	180	96	0.0641167633917018	0.900855574211745
Microbiome_gene_K00140	probiotics	probiotics	-0.681124098395086	0.352798180319586	180	104	0.0563894155685747	0.900855574211745
Microbiome_gene_K00147	antivirals	antivirals	-0.806268783708085	0.479769540831001	180	110	0.0958262600540554	0.900855574211745
Microbiome_gene_K00170	antivirals	antivirals	-0.721480913889594	0.400492631809358	180	89	0.0752147688718373	0.900855574211745
Microbiome_gene_K00174	antivirals	antivirals	-1.06995084030222	0.404798404685203	180	94	0.00970503024295832	0.900855574211745
Microbiome_gene_K00175	antivirals	antivirals	-0.720694771652246	0.442149327148998	180	99	0.106452194795926	0.900855574211745
Microbiome_gene_K00180	antivirals	antivirals	-0.756681861653949	0.4687260346015	180	85	0.110391945501966	0.900855574211745
Microbiome_gene_K00183	antibiotics	antibiotics	0.617618240645092	0.385602543080557	180	108	0.112285347280321	0.900855574211745
Microbiome_gene_K00198	antivirals	antivirals	-0.867983758593932	0.351792572516648	180	99	0.0154227856270236	0.900855574211745
Microbiome_gene_K00219	antivirals	antivirals	-0.703065632722825	0.255004466123977	180	120	0.00678505779139111	0.900855574211745
Microbiome_gene_K00226	antivirals	antivirals	-1.07504952896114	0.444304793204364	180	86	0.0177761119934945	0.900855574211745
Microbiome_gene_K00243	antivirals	antivirals	-0.84646789520914	0.449048750589984	180	86	0.0630125975917328	0.900855574211745
Microbiome_gene_K00254	antifungals	antifungals	-1.06560448113463	0.511260842688332	180	95	0.0399382724108404	0.900855574211745
Microbiome_gene_K00260	antivirals	antivirals	-1.21971802323327	0.488193959888909	180	91	0.0143767599371493	0.900855574211745
Microbiome_gene_K00261	antivirals	antivirals	-0.536689570946689	0.302206235571577	180	112	0.0785912186758659	0.900855574211745
Microbiome_gene_K00275	antivirals	antivirals	-0.560578065246919	0.291343368578907	180	149	0.0563127443731571	0.900855574211745
Microbiome_gene_K00278	antivirals	antivirals	-0.55446803535128	0.285634820839854	180	166	0.0539830121719678	0.900855574211745
Microbiome_gene_K00281	antivirals	antivirals	-0.581407431981224	0.275427064202247	180	161	0.0363726662798735	0.900855574211745
Microbiome_gene_K00286	antivirals	antivirals	-0.54065839653433	0.281563848154592	180	165	0.0566117673901456	0.900855574211745
Microbiome_gene_K00287	antivirals	antivirals	-0.523329690579024	0.277892362267021	180	165	0.061486707698186	0.900855574211745
Microbiome_gene_K00290	antivirals	antivirals	-0.57496882180388	0.283060778509025	180	169	0.0438436413247117	0.900855574211745
Microbiome_gene_K00297	antivirals	antivirals	-0.525506868712775	0.283809937569363	180	163	0.0659474556177838	0.900855574211745
Microbiome_gene_K00303	antibiotics	antibiotics	0.470397101626219	0.286277859878312	180	129	0.102885540436892	0.900855574211745
Microbiome_gene_K00303	antivirals	antivirals	-0.623074264317215	0.295699469538053	180	129	0.0371218855197759	0.900855574211745
Microbiome_gene_K00313	antivirals	antivirals	-0.446188098819844	0.263071840018242	180	131	0.0923421537835847	0.900855574211745
Microbiome_gene_K00318	antivirals	antivirals	-0.72150568158368	0.320887005161502	180	142	0.026142797161834	0.900855574211745
Microbiome_gene_K00331	antivirals	antivirals	-0.565419635247632	0.290088014694269	180	167	0.0530069362215401	0.900855574211745
Microbiome_gene_K00332	antivirals	antivirals	-0.571808247337437	0.270272896594612	180	110	0.036737675905185	0.900855574211745
Microbiome_gene_K00333	antivirals	antivirals	-0.669354108938471	0.308041011229298	180	108	0.0320772727666254	0.900855574211745
Microbiome_gene_K00334	antivirals	antivirals	-0.693525951497632	0.318536414450875	180	160	0.0309763178146755	0.900855574211745
Microbiome_gene_K00337	antivirals	antivirals	-0.496402774400143	0.285739978470941	180	168	0.0842313705451637	0.900855574211745
Microbiome_gene_K00338	antivirals	antivirals	-0.487979681649207	0.286510349947855	180	163	0.0904999611475045	0.900855574211745
Microbiome_gene_K00339	antivirals	antivirals	-0.524107088247566	0.296016550572535	180	160	0.0786041031805289	0.900855574211745
Microbiome_gene_K00340	antivirals	antivirals	-0.535464198731993	0.298232312486155	180	162	0.0745037728925927	0.900855574211745
Microbiome_gene_K00341	antivirals	antivirals	-0.582127111565884	0.278289016209357	180	161	0.0380756518150272	0.900855574211745
Microbiome_gene_K00342	antivirals	antivirals	-0.592406549385891	0.283052870333868	180	162	0.0379645497573038	0.900855574211745
Microbiome_gene_K00343	antivirals	antivirals	-0.555208115216347	0.272343384789185	180	158	0.0432083989470717	0.900855574211745
